Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
"Dickinson, Jacobi and McKenzie",Italy,41.902782,12.496366,Telecommunications,Small (11-200),Laura Thompson,5/13/24,SAAS,New,1,,,1539,20,6/30/24,,,
Feest-Schoen,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Laura Thompson,4/10/24,SAAS,New,1,,,1212,30,6/14/24,,,
"Hane, Kassulke and Hermiston",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,3/13/24,Services,New,1,,,1832,20,7/18/24,,,
"Lesch, Hauck and Bogan",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Jessica Martinez,3/18/24,Custom solution,New,1,,,1553,20,8/4/24,,,
Johnson-McDermott,France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),John Smith,4/20/24,Services,New,1,,,322,40,1/4/25,,,
"Dare, Lesch and Gorczany",France,48.864716,2.349014,Transportation & Logistics,Small (11-200),John Smith,1/10/24,Custom solution,New,1,,,1185,90,7/22/24,,,
Reilly Inc,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Jessica Martinez,5/20/24,Services,New,1,,,1747,20,7/16/24,,,
Hyatt Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,3/22/24,SAAS,New,1,,,1286,20,2/12/25,,,
Waters Inc,Belgium,51.260197,4.402771,Manufacturing & Production,Small (11-200),Laura Thompson,1/4/24,Services,New,1,,,1735,90,2/9/24,,,
Balistreri-Berge,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),David Wilson,5/4/24,SAAS,New,1,,,1184,50,1/30/25,,,
"Champlin, Altenwerth and Reichel",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Laura Thompson,2/18/24,SAAS,New,1,,,352,40,10/24/24,,,
Johnston-Bahringer,Italy,41.902782,12.496366,Telecommunications,Small (11-200),John Smith,1/11/24,Custom solution,New,1,,,1581,50,3/6/24,,,
Rath and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),David Wilson,5/24/24,SAAS,New,1,,,1367,40,3/29/25,,,
Langosh-Oberbrunner,Spain,40.416775,-3.703790,Banking and Finance,Small (11-200),Sarah Davis,3/5/24,Services,New,1,,,490,10,7/8/24,,,
Dickinson LLC,France,48.864716,2.349014,IT & IT Services,Small (11-200),Laura Thompson,1/23/24,SAAS,New,1,,,1627,40,3/11/24,,,
"Heathcote, Barrows and Doyle",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,1/31/24,Custom solution,New,1,,,716,50,8/16/24,,,
"Cummerata, Wyman and Conn",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,2/14/24,Services,New,1,,,1139,30,5/28/24,,,
"O'Reilly, Torphy and Jakubowski",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,4/16/24,Custom solution,New,1,,,427,40,9/15/24,,,
Boyer LLC,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Michael Brown,4/18/24,Services,New,1,,,857,50,12/3/24,,,
"Bradtke, Predovic and Monahan",Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),Laura Thompson,3/17/24,SAAS,New,1,,,1442,10,2/10/25,,,
Schuppe Inc,France,48.864716,2.349014,Banking and Finance,Small (11-200),David Wilson,3/7/24,Services,New,1,,,839,60,10/18/24,,,
Hand-Heller,Germany,52.520008,13.404954,Retail & Distribution,Small (11-200),Jessica Martinez,1/23/24,Custom solution,New,1,,,1660,80,12/2/24,,,
Prohaska-Jenkins,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),David Wilson,5/1/24,SAAS,New,1,,,576,80,2/25/25,,,
"Johnston, Hettinger and Luettgen",Austria,48.210033,16.363449,Recreation & Sports,Small (11-200),Laura Thompson,3/23/24,SAAS,New,1,,,1351,40,6/12/24,,,
"Rodriguez, Miller and Bradtke",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,2/7/24,Custom solution,New,1,,,1579,70,1/3/25,,,
"Batz, Schamberger and Feeney",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Sarah Davis,5/7/24,SAAS,New,1,,,731,20,10/5/24,,,
Ortiz-Christiansen,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),John Smith,5/18/24,SAAS,New,1,,,931,30,4/4/25,,,
Toy-Friesen,Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,1/23/24,SAAS,New,1,,,1237,30,7/17/24,,,
Sawayn and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),Kevin Anderson,4/23/24,SAAS,New,1,,,1716,20,11/17/24,,,
Turcotte-Hand,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Jessica Martinez,1/17/24,Services,New,1,,,1382,30,11/26/24,,,
Bayer Group,Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),Jessica Martinez,5/9/24,Services,New,1,,,1194,100,12/2/24,,,
Leffler-Okuneva,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Kevin Anderson,1/10/24,Services,New,1,,,1073,20,4/6/24,,,
"Little, Deckow and Kunde",Spain,40.416775,-3.703790,Government Administration Healthcare,Small (11-200),Michael Brown,5/11/24,Services,New,1,,,1102,20,7/7/24,,,
"Ortiz, Cartwright and Leffler",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Jessica Martinez,2/21/24,Services,New,1,,,1252,50,11/8/24,,,
Bernier and Sons,Belgium,51.260197,4.402771,Retail & Distribution,Small (11-200),Michael Brown,1/30/24,SAAS,New,1,,,786,70,11/27/24,,,
Rempel-Towne,Belgium,51.260197,4.402771,Professional Services  & Consulting,Small (11-200),Sarah Davis,3/20/24,Services,New,1,,,1292,80,2/14/25,,,
Sauer-Heaney,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,1/9/24,Services,New,1,,,317,60,7/13/24,,,
Funk and Sons,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,2/21/24,SAAS,New,1,,,958,30,9/4/24,,,
"Cruickshank, Cormier and Willms",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,5/23/24,Services,New,1,,,1364,50,9/6/24,,,
"Roberts, Boehm and Swift",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,4/3/24,Services,New,1,,,1348,20,5/14/24,,,
"Gerlach, Kiehn and Weber",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,2/10/24,Custom solution,New,1,,,1811,10,11/9/24,,,
"Sawayn, Sanford and Skiles",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Sarah Davis,2/19/24,SAAS,New,1,,,1607,10,1/12/25,,,
"Harris, Schmidt and Kautzer",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,4/5/24,Services,New,1,,,1139,30,7/25/24,,,
Stamm-Rath,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,1/26/24,Services,New,1,,,487,50,9/13/24,,,
"Hamill, Koepp and Quigley",Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Sarah Davis,4/17/24,Services,New,1,,,495,60,5/28/24,,,
Hodkiewicz-Powlowski,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,2/8/24,Services,New,1,,,344,40,4/1/24,,,
Moore Group,France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,4/11/24,SAAS,New,1,,,443,30,8/7/24,,,
Schumm-Auer,Spain,40.416775,-3.703790,Education & Science,Small (11-200),Emily Johnson,3/11/24,SAAS,New,1,,,718,40,2/3/25,,,
"Ward, Daugherty and Homenick",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Jessica Martinez,5/30/24,Custom solution,New,1,,,1917,90,10/25/24,,,
"Pollich, Robel and Friesen",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Emily Johnson,1/23/24,Custom solution,New,1,,,1729,50,6/28/24,,,
"Weimann, Pacocha and McCullough",Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Jessica Martinez,5/4/24,Custom solution,New,1,,,1345,10,8/15/24,,,
"Champlin, Borer and Purdy",Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Michael Brown,4/21/24,Services,New,1,,,1626,60,4/19/25,,,
"Erdman, Medhurst and Rowe",Italy,41.902782,12.496366,Telecommunications,Small (11-200),Michael Brown,5/22/24,SAAS,New,1,,,1592,50,7/23/24,,,
Gutmann-Hoppe,Belgium,51.260197,4.402771,Energy & Utilities,Small (11-200),Jessica Martinez,2/7/24,Custom solution,New,1,,,819,30,2/28/24,,,
Lakin-Bradtke,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,2/28/24,SAAS,New,1,,,766,50,2/15/25,,,
"Ziemann, Bergstrom and Harber",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Jessica Martinez,1/9/24,Services,New,1,,,834,40,12/30/24,,,
Mitchell-Hauck,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Sarah Davis,3/29/24,SAAS,New,1,,,1662,30,3/23/25,,,
Labadie-Keeling,Germany,52.520008,13.404954,Recreation & Sports,Small (11-200),Michael Brown,1/13/24,SAAS,New,1,,,1819,60,8/28/24,,,
Borer Group,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Jessica Martinez,5/21/24,Services,New,1,,,1142,20,6/26/24,,,
"Goldner, Grant and Krajcik",Austria,48.210033,16.363449,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,2/21/24,Custom solution,New,1,,,1340,30,8/16/24,,,
Schinner and Sons,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Emily Johnson,1/23/24,Services,New,1,,,797,40,6/12/24,,,
Kihn Inc,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,5/9/24,SAAS,New,1,,,644,40,1/25/25,,,
Abbott-Wisoky,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Sarah Davis,5/19/24,Services,New,1,,,355,30,2/26/25,,,
"Strosin, Bahringer and Reilly",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),John Smith,5/28/24,Custom solution,New,1,,,1741,50,10/18/24,,,
"McKenzie, Jerde and Altenwerth",Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,1/31/24,SAAS,New,1,,,441,30,10/17/24,,,
"Runolfsdottir, Mills and Jacobi",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,5/10/24,SAAS,New,1,,,1239,40,3/2/25,,,
"Tremblay, Thompson and Robel",Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,5/11/24,SAAS,New,1,,,467,40,2/15/25,,,
Rutherford LLC,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Jessica Martinez,2/10/24,SAAS,New,1,,,403,50,6/19/24,,,
Rice-Bayer,Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Jessica Martinez,3/20/24,SAAS,New,1,,,677,20,12/29/24,,,
"Blanda, Gibson and Mills",Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Michael Brown,3/29/24,SAAS,New,1,,,690,10,11/27/24,,,
"Deckow, Dickens and Koss",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,5/25/24,SAAS,New,1,,,404,30,8/8/24,,,
Sporer-Beer,France,48.864716,2.349014,IT & IT Services,Small (11-200),Michael Brown,2/12/24,SAAS,New,1,,,1126,80,4/11/24,,,
Hudson Group,Germany,52.520008,13.404954,Telecommunications,Small (11-200),Laura Thompson,1/30/24,SAAS,New,1,,,1675,40,7/13/24,,,
Gutmann-Friesen,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),John Smith,5/13/24,Services,New,1,,,1910,20,3/18/25,,,
"Schmidt, Konopelski and Larson",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Laura Thompson,2/4/24,Custom solution,New,1,,,857,30,11/21/24,,,
O'Connell Group,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),Jessica Martinez,3/14/24,Services,New,1,,,1561,40,1/4/25,,,
Willms-Hagenes,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Michael Brown,5/27/24,Custom solution,New,1,,,872,50,10/4/24,,,
Metz-Kuvalis,Germany,52.520008,13.404954,Banking and Finance,Small (11-200),Jessica Martinez,1/7/24,Services,New,1,,,757,30,8/12/24,,,
Jakubowski Group,Germany,52.520008,13.404954,Retail & Distribution,Small (11-200),Laura Thompson,3/17/24,SAAS,New,1,,,1521,70,3/17/25,,,
Volkman Inc,France,48.864716,2.349014,Manufacturing & Production,Small (11-200),Michael Brown,4/20/24,SAAS,New,1,,,1010,80,2/14/25,,,
"Haley, Ritchie and Anderson",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Kevin Anderson,2/16/24,Services,New,1,,,1175,30,7/5/24,,,
Hoeger Inc,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Laura Thompson,1/26/24,SAAS,New,1,,,1058,80,11/2/24,,,
Monahan-Quitzon,Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Michael Brown,3/22/24,SAAS,New,1,,,1546,10,4/30/24,,,
"Crona, Keeling and Daniel",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Michael Brown,5/5/24,SAAS,New,1,,,1029,90,9/19/24,,,
"Bergnaum, Hyatt and Purdy",France,48.864716,2.349014,Energy & Utilities,Small (11-200),David Wilson,4/2/24,SAAS,New,1,,,1736,40,10/4/24,,,
Schiller-Stehr,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Sarah Davis,1/2/24,Services,New,1,,,1035,60,8/4/24,,,
Kuhlman Group,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),David Wilson,3/14/24,SAAS,New,1,,,1077,20,10/10/24,,,
Bogan Inc,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Laura Thompson,2/1/24,Services,New,1,,,1462,60,9/5/24,,,
Yundt Inc,France,48.864716,2.349014,Transportation & Logistics,Small (11-200),Jessica Martinez,1/9/24,SAAS,New,1,,,1849,80,12/16/24,,,
Sawayn-Bogan,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Emily Johnson,5/13/24,SAAS,New,1,,,294,40,2/3/25,,,
"Spinka, Johns and Tromp",Germany,52.520008,13.404954,Banking and Finance,Small (11-200),Laura Thompson,1/3/24,SAAS,New,1,,,1632,30,11/16/24,,,
Zieme-Cronin,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,2/5/24,SAAS,New,1,,,457,30,8/29/24,,,
Gleichner-Kohler,France,48.864716,2.349014,Agriculture & Mining,Small (11-200),Emily Johnson,1/17/24,Custom solution,New,1,,,852,40,12/21/24,,,
Morar-Goyette,Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Laura Thompson,4/1/24,Services,New,1,,,220,30,3/17/25,,,
Howell and Sons,Italy,41.902782,12.496366,Energy & Utilities,Small (11-200),David Wilson,4/28/24,SAAS,New,1,,,733,60,11/2/24,,,
Metz LLC,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Michael Brown,3/13/24,SAAS,New,1,,,1736,30,9/3/24,,,
Schamberger Group,France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,1/20/24,SAAS,New,1,,,1064,20,4/17/24,,,
"Dickinson, King and Jenkins",Germany,52.520008,13.404954,Retail & Distribution,Small (11-200),John Smith,3/7/24,SAAS,New,1,,,1152,40,4/25/24,,,
Jakubowski LLC,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,5/10/24,SAAS,New,1,,,227,40,2/17/25,,,
King-Rohan,Austria,48.210033,16.363449,Recreation & Sports,Small (11-200),David Wilson,3/11/24,SAAS,New,1,,,1409,30,12/21/24,,,
Rowe and Sons,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Michael Brown,3/28/24,Services,New,1,,,1853,40,5/28/24,,,
Barrows Group,Germany,52.520008,13.404954,Education & Science,Small (11-200),Laura Thompson,3/1/24,SAAS,New,1,,,601,30,9/29/24,,,
Kertzmann-Kris,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Jessica Martinez,3/16/24,Services,New,1,,,637,40,7/11/24,,,
"Hettinger, Trantow and Altenwerth",France,48.864716,2.349014,Agriculture & Mining,Small (11-200),Sarah Davis,1/12/24,SAAS,New,1,,,1011,80,9/20/24,,,
"Doyle, Krajcik and Wintheiser",France,48.864716,2.349014,Agriculture & Mining,Small (11-200),David Wilson,5/14/24,Services,New,1,,,1368,40,4/7/25,,,
Koss-Mertz,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Emily Johnson,5/23/24,SAAS,New,1,,,706,60,11/18/24,,,
Shanahan-Hodkiewicz,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Sarah Davis,3/26/24,Custom solution,New,1,,,1324,50,2/26/25,,,
Kunde and Sons,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,3/1/24,Services,New,1,,,1916,90,4/13/24,,,
"Kassulke, McClure and Greenfelder",Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Kevin Anderson,1/16/24,SAAS,New,1,,,1838,30,2/17/24,,,
Konopelski and Sons,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Sarah Davis,1/18/24,SAAS,New,1,,,621,20,4/25/24,,,
Thoughtbeat,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),John Smith,1/28/24,SAAS,New,1,,,450,40,5/12/24,,,
Pixope,Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),Kevin Anderson,2/17/24,SAAS,New,1,,,904,80,7/23/24,,,
Leexo,France,48.864716,2.349014,Manufacturing & Production,Micro (1-10),Kevin Anderson,2/16/24,SAAS,New,1,,,299,60,5/3/24,,,
Divavu,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Emily Johnson,4/26/24,Services,New,1,,,935,80,3/16/25,,,
Zava,Germany,52.520008,13.404954,Government Administration Healthcare,Micro (1-10),Laura Thompson,1/24/24,SAAS,New,1,,,828,100,10/8/24,,,
Lajo,Belgium,51.260197,4.402771,Education & Science,Micro (1-10),Jessica Martinez,2/20/24,Services,New,1,,,1035,50,8/28/24,,,
Ainyx,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Sarah Davis,3/23/24,SAAS,New,1,,,749,20,3/18/25,,,
Gigazoom,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Kevin Anderson,3/4/24,SAAS,New,1,,,866,40,12/25/24,,,
Trilith,France,48.864716,2.349014,IT & IT Services,Micro (1-10),Kevin Anderson,4/25/24,Services,New,1,,,315,40,10/20/24,,,
Eazzy,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),Kevin Anderson,5/24/24,SAAS,New,1,,,376,50,5/5/25,,,
Pixoboo,Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Laura Thompson,2/18/24,SAAS,New,1,,,625,30,7/20/24,,,
Muxo,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Jessica Martinez,4/27/24,SAAS,New,1,,,859,20,4/15/25,,,
"Koss, Walter and Murray",Italy,41.902782,12.496366,Retail & Distribution,Micro (1-10),Jessica Martinez,2/4/24,SAAS,New,1,,,1139,30,7/7/24,,,
"Goyette, Gottlieb and Cummings",France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),Michael Brown,3/20/24,Services,New,1,,,458,30,8/16/24,,,
"Buckridge, Schinner and Walker",Netherlands,52.370216,4.895168,Retail & Distribution,Micro (1-10),David Wilson,1/21/24,Services,New,1,,,737,40,1/20/25,,,
Reichel-Kutch,France,48.864716,2.349014,Retail & Distribution,Micro (1-10),Jessica Martinez,3/25/24,Custom solution,New,1,,,1096,40,3/12/25,,,
Schoen-Waelchi,Germany,52.520008,13.404954,Construction & Engineering,Micro (1-10),Jessica Martinez,3/6/24,Services,New,1,,,491,90,2/26/25,,,
"Stracke, Hodkiewicz and Leuschke",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,3/20/24,SAAS,New,1,,,1107,40,11/29/24,,,
"Mohr, Adams and Emmerich",Spain,40.416775,-3.703790,Transportation & Logistics,Micro (1-10),Kevin Anderson,3/29/24,SAAS,New,1,,,261,30,8/13/24,,,
Turner Inc,Austria,48.210033,16.363449,Education & Science,Micro (1-10),Laura Thompson,4/14/24,SAAS,New,1,,,873,30,9/15/24,,,
"Blick, Kessler and Gislason",Switzerland,46.204391,6.143158,Education & Science,Micro (1-10),Laura Thompson,3/16/24,Custom solution,New,1,,,455,20,1/22/25,,,
Koss-Maggio,Switzerland,46.204391,6.143158,Retail & Distribution,Micro (1-10),Jessica Martinez,4/17/24,Services,New,1,,,600,40,9/15/24,,,
Predovic and Sons,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Sarah Davis,2/19/24,Services,New,1,,,467,40,4/29/24,,,
"Pacocha, Wuckert and Kerluke",Switzerland,46.204391,6.143158,Energy & Utilities,Micro (1-10),Emily Johnson,5/19/24,SAAS,New,1,,,477,40,9/20/24,,,
Macejkovic-Legros,France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),Jessica Martinez,3/2/24,SAAS,New,1,,,1014,40,6/19/24,,,
Harber-Murray,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Micro (1-10),Sarah Davis,4/6/24,Services,New,1,,,226,40,1/31/25,,,
"Krajcik, Hammes and Feil",Austria,48.210033,16.363449,Construction & Engineering,Micro (1-10),Kevin Anderson,1/17/24,Custom solution,New,1,,,688,20,7/22/24,,,
Kshlerin Group,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Emily Johnson,1/7/24,Services,New,1,,,814,40,11/4/24,,,
Balistreri-Kub,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,2/25/24,SAAS,New,1,,,648,50,4/12/24,,,
Rippin-Franecki,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,3/22/24,Services,New,1,,,880,30,12/9/24,,,
"Wehner, Kshlerin and King",Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Michael Brown,3/24/24,SAAS,New,1,,,936,80,2/13/25,,,
Predovic LLC,France,48.864716,2.349014,Manufacturing & Production,Micro (1-10),Laura Thompson,4/29/24,Services,New,1,,,796,70,8/18/24,,,
Dare Inc,Germany,52.520008,13.404954,Energy & Utilities,Micro (1-10),Laura Thompson,1/2/24,Services,New,1,,,973,30,4/22/24,,,
Roob-DuBuque,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,5/31/24,SAAS,New,1,,,1097,60,5/17/25,,,
"Smitham, Stamm and Howe",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),David Wilson,5/6/24,SAAS,New,1,,,1020,20,4/14/25,,,
Ward-Cruickshank,Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Sarah Davis,3/23/24,Custom solution,New,1,,,1067,20,8/3/24,,,
Strosin-Runte,Switzerland,46.204391,6.143158,Energy & Utilities,Micro (1-10),Jessica Martinez,2/1/24,Services,New,1,,,1063,50,8/8/24,,,
Zulauf-Schmidt,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Micro (1-10),Kevin Anderson,3/10/24,SAAS,New,1,,,738,20,10/11/24,,,
Leffler-Hirthe,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,5/12/24,SAAS,New,1,,,425,60,6/21/24,,,
McLaughlin LLC,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Sarah Davis,1/9/24,SAAS,New,1,,,854,40,6/3/24,,,
Sanford-Doyle,Italy,41.902782,12.496366,Retail & Distribution,Micro (1-10),Jessica Martinez,2/15/24,Services,New,1,,,627,20,9/16/24,,,
Deckow and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Emily Johnson,4/29/24,Custom solution,New,1,,,365,100,8/3/24,,,
Price Inc,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Kevin Anderson,4/21/24,Services,New,1,,,852,70,2/20/25,,,
"Hammes, Romaguera and Emmerich",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,4/20/24,Services,New,1,,,1139,80,6/30/24,,,
"Schinner, Mraz and Friesen",France,48.864716,2.349014,Banking and Finance,Micro (1-10),Michael Brown,3/14/24,Services,New,1,,,286,40,12/16/24,,,
"Morissette, Heathcote and Bayer",France,48.864716,2.349014,IT & IT Services,Micro (1-10),Laura Thompson,2/26/24,Services,New,1,,,563,30,5/5/24,,,
Kirlin LLC,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),David Wilson,3/24/24,Services,New,1,,,1130,30,2/23/25,,,
Fritsch-Anderson,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),David Wilson,4/1/24,Custom solution,New,1,,,850,30,5/16/24,,,
"Hegmann, Vandervort and Grimes",Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Michael Brown,2/25/24,SAAS,New,1,,,866,20,2/17/25,,,
Nicolas LLC,France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),John Smith,2/20/24,Services,New,1,,,940,50,11/29/24,,,
Green-Wuckert,Portugal,38.736946,-9.142685,Banking and Finance,Micro (1-10),John Smith,1/23/24,Custom solution,New,1,,,1024,30,3/30/24,,,
"Walsh, Walter and Kuhic",Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Emily Johnson,4/15/24,SAAS,New,1,,,1068,20,12/25/24,,,
Hauck Inc,Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),John Smith,2/6/24,Services,New,1,,,902,20,9/14/24,,,
Keeling-Gerhold,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Emily Johnson,4/17/24,Custom solution,New,1,,,922,50,10/10/24,,,
Bailey and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),David Wilson,2/8/24,SAAS,New,1,,,780,50,10/11/24,,,
Thompson-Schuster,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Jessica Martinez,2/20/24,Services,New,1,,,387,30,2/3/25,,,
"Bechtelar, Bechtelar and Kub",Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),John Smith,3/6/24,Services,New,1,,,905,50,1/15/25,,,
Krajcik and Sons,Portugal,38.736946,-9.142685,Recreation & Sports,Micro (1-10),Michael Brown,1/29/24,SAAS,New,1,,,678,20,6/7/24,,,
"Macejkovic, Goodwin and Towne",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),Jessica Martinez,4/17/24,SAAS,New,1,,,883,70,12/10/24,,,
O'Reilly LLC,Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),Michael Brown,5/25/24,SAAS,New,1,,,1175,90,1/16/25,,,
Kiehn Group,France,48.864716,2.349014,Retail & Distribution,Micro (1-10),Laura Thompson,5/6/24,SAAS,New,1,,,493,20,6/8/24,,,
Williamson-O'Conner,Spain,40.416775,-3.703790,Transportation & Logistics,Micro (1-10),Jessica Martinez,5/16/24,SAAS,New,1,,,995,30,6/10/24,,,
Runolfsdottir-Huels,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),John Smith,5/23/24,Services,New,1,,,236,100,2/6/25,,,
